"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1720","TH",0,0.508636831767628,0.412122045346679,0.460270539342803,NA,0
"1721","TH",0,0.710584915103383,0.644127936483057,0.70196591666041,NA,0
"1722","TH",0,0.387853715021342,0.308228716574564,0.335488791355211,0.247210578208505,1
"1723","TH",0,0.598627560994875,0.49993288363906,0.520342140770996,NA,0
"1724","ES",1,0.491045352466528,0.403614298304536,0.39710868163931,0.322719342676482,1
"1725","Prev",0,0.430626399367196,0.523409032229025,0.454780462624734,0.34881344139919,1
"1726","ES",1,0.333926518258056,0.361287319584017,0.300076719733315,0.244481889239066,1
"1727","ES",1,0.614933960677909,0.543125971721584,0.508210742627453,NA,0
"1728","TH",0,0.405649999239661,0.323118499658571,0.375687678660412,NA,0
"1729","ES",1,0.661057066671622,0.572746763659999,0.590726706110859,0.612076476330296,1
"1730","TH",0,0.493315392680751,0.421121505037251,0.46929805688943,NA,0
"1731","TH",1,0.544581580417843,0.553140498202948,0.56303373477529,NA,0
"1732","ES",1,0.693560898776562,0.685417312980936,0.720996618768843,NA,0
"1733","Prev",0,0.21963430428127,0.200512018429106,0.18326152913556,0.164237463134283,1
"1734","TH",0,0.388988520237133,0.310222096187873,0.338951421436225,NA,0
"1735","ES",1,0.523453947802929,0.44718185916143,0.510860575944385,0.392454403796267,1
"1736","TH",0,0.366882473758119,0.291124896070333,0.426481058597523,0.231919255805612,1
"1737","ES",0,0.586007259753454,0.499728587401245,0.479109522341049,0.426954000649937,1
"1738","Prev",0,0.207504768692858,0.191060201172309,0.182892025791613,0.133985133832229,1
"1739","Prev",0,0.42445343257859,0.350954810513749,0.422102198338069,0.294495182172834,1
"1740","TH",1,0.745711420773474,0.703116069791856,0.745032052191994,NA,0
"1741","TH",0,0.366054173137198,0.311532397033806,0.384053102476258,NA,0
"1742","ES",1,0.689734662999747,0.737156243141956,0.66095443861764,0.623862538996799,1
"1743","Prev",0,0.207793862545348,0.148960075933364,0.170382097471165,0.113576851695686,1
"1744","Prev",1,0.185560240629477,0.158747338868052,0.20092064177299,0.101952076343744,1
"1745","ES",1,0.163026062980212,0.138505497274482,0.157000428204104,0.09366613514559,1
"1746","ES",1,0.247288922845515,0.261892548351037,0.22456070688141,NA,0
"1747","ES",1,0.638385879246915,0.629217854983575,0.61428006226649,NA,0
"1748","Prev",0,0.286339556768352,0.284494125115678,0.279471661836759,0.217065892821252,1
"1749","TH",0,0.435854518968955,0.435344695790342,0.355561591794084,0.320861998769634,1
"1750","ES",1,0.664564936145266,0.724770028870113,0.670593703457067,0.605262626789021,1
"1751","Prev",0,0.0724595835953963,0.08620441772352,0.0595543035912911,0.0407484760700253,1
"1752","RRH",1,0.644545136064007,0.585481187549228,0.663485047399493,NA,0
"1753","ES",0,0.748424463541043,0.677547078707122,0.660658008613011,0.648831274798774,1
"1754","ES",0,0.418585235919407,0.386640096512341,0.35470265561963,0.273779882116422,1
"1755","ES",1,0.734013746732819,0.697654285708754,0.716504853786435,0.613206933412282,1
"1756","ES",0,0.708346364474807,0.691399911574547,0.744839992601321,NA,0
"1757","RRH",0,0.250832487221315,0.225311499847012,0.225132592711362,NA,0
"1758","Prev",0,0.443031656119995,0.417380881767256,0.391540200834878,0.39378533145948,1
"1759","ES",1,0.35319922848728,0.281241123436039,0.343078182656206,NA,0
"1760","Prev",0,0.204719707690017,0.154359281911171,0.17154249216178,0.122276971680862,1
"1761","RRH",0,0.542943700494372,0.559747070043064,0.512754438078088,0.483265987687741,1
"1762","Prev",0,0.130911887847321,0.143226427192294,0.113881690031427,0.0887503374809479,1
"1763","TH",1,0.791822292254069,0.765633103138199,0.760850404547347,NA,0
"1764","ES",1,0.540563757668355,0.520030390056855,0.539436020431255,0.442055945826222,1
"1765","ES",0,0.491723564654304,0.406139101581633,0.420336300366373,0.383733605162306,1
"1766","TH",1,0.409023086244314,0.343582377403001,0.403262144507404,NA,0
"1767","Prev",0,0.173395530437742,0.155619567014312,0.149683982629705,0.140809654248574,1
"1768","TH",0,0.313790171378214,0.229495976140815,0.353984668101134,NA,0
"1769","Prev",0,0.161441352365823,0.170179868641518,0.162679392874191,0.0916114493042576,1
"1770","TH",0,0.642109421452083,0.556047506667235,0.575116458985076,NA,0
"1771","TH",0,0.508720138426984,0.425428563785253,0.45316486221319,NA,0
"1772","Prev",0,0.120444288049589,0.138578267674391,0.118931170787783,0.0760480029616035,1
"1773","ES",1,0.668197070954132,0.589129506516085,0.634355129578634,0.619089788474977,1
"1774","ES",0,0.555753675593458,0.49938036915279,0.510284429219865,NA,0
"1775","Prev",0,0.310728170946238,0.31170418979471,0.281555982217619,0.213531288804193,1
"1776","Prev",0,0.140280247936672,0.125715923234604,0.136803586808821,0.0756683317602528,1
"1777","Prev",0,0.223393210156077,0.224898345793613,0.19750518968152,0.155640448023378,1
"1778","Prev",1,0.752949423902173,0.776419231559942,0.738538749140859,0.703599059923527,1
"1779","TH",1,0.522115092231653,0.439174289135692,0.522653002094607,NA,0
"1780","ES",1,0.661914917898942,0.620848363277361,0.698332475781764,0.584746994263534,1
"1781","ES",1,0.358706553555895,0.290071165241675,0.343009611337135,NA,0
"1782","Prev",0,0.153661052032634,0.179721885812161,0.16148413399584,0.094636819174506,1
"1783","Prev",0,0.255593317378743,0.228783199040131,0.230949460188214,0.167047778571548,1
"1784","Prev",0,0.110638864922777,0.118251863887828,0.100398460640401,0.0740870829361781,1
"1785","RRH",0,0.514959529234883,0.423751326298134,0.512578254309274,NA,0
